src, dst, rssi, timestamp
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-39,1744765307.4958382
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-39,1744765307.6360147
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-39,1744765307.6777802
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-40,1744765307.7781749
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-39,1744765307.9000707
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-39,1744765307.9023523
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-40,1744765308.940447
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765308.9437563
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-39,1744765309.000346
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-40,1744765310.0635495
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765310.0653503
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-39,1744765310.1268857
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-39,1744765310.2674167
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765310.2709622
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-40,1744765310.3318183
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-40,1744765310.5746653
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765310.5765107
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-41,1744765310.638831
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-39,1744765310.8821008
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765310.884101
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765314.7758846
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765314.7844603
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765314.7857175
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-39,1744765314.9806793
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765315.7992804
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765315.802771
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765315.8037634
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-40,1744765316.0054562
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765317.2321823
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-40,1744765317.3040297
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-39,1744765317.8464468
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-37,1744765317.8482995
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765317.8492837
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-37,1744765321.238074
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-37,1744765321.245333
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765321.3423245
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-37,1744765321.3856874
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-37,1744765321.5091293
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-37,1744765321.5514297
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-37,1744765321.6004398
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765321.7204723
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765321.7980676
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765321.7998064
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-37,1744765321.8017218
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-39,1744765321.8062022
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765321.8071685
04:99:bb:d8:6e:2e,d8:32:14:45:a0:71,-38,1744765321.9995859